WARNING: You are using a SMPL model, with only 10 shape coefficients.
Sequence                                N src           MPJPE   PA-MPJPE        MVE     PA-MVE    C-MPJPE      C-MVE Pelvis-Err
-------------------------------------------------------------------------------------------------------------------------------
P1_14_outdoor_climb                  1284 ours          52.50      39.69      60.70      47.46      92.56      97.50      75.58
P1_14_outdoor_climb                  1284 cached        54.20      39.08      62.01      45.80     104.07     108.14     100.60
P2_23_outdoor_hug_tree               1086 ours          61.13      42.40      75.29      54.16      72.24      85.79      43.28
P2_23_outdoor_hug_tree               1086 cached        57.29      41.79      68.70      53.23      72.89      82.23      51.93
P3_31_outdoor_workout                1216 ours          69.70      44.18      80.09      52.36     102.40     107.41      86.47
P3_31_outdoor_workout                1216 cached        70.34      44.71      80.77      53.47     127.79     132.50     113.87
P3_32_outdoor_soccer_warmup_a        1084 ours          62.28      43.05      72.43      51.81      84.87      92.23      55.08
P3_32_outdoor_soccer_warmup_a        1084 cached        58.63      42.90      67.74      51.75      96.98     103.25      69.87
P3_33_outdoor_soccer_warmup_b        1433 ours          57.07      41.03      67.59      49.63      63.31      72.46      36.76
P3_33_outdoor_soccer_warmup_b        1433 cached        54.61      41.11      63.85      49.68      64.21      71.26      43.48
P5_42_indoor_dancing                 1291 ours          79.93      51.55      96.42      60.76     114.20     119.40     116.67
P5_42_indoor_dancing                 1291 cached        78.93      51.15      94.80      60.11     157.90     160.57     169.52
P5_44_indoor_rom                     1381 ours          72.73      41.29      89.28      50.96      97.81     110.83      73.69
P5_44_indoor_rom                     1381 cached        71.85      40.57      88.58      50.00     174.45     184.92     154.37
P6_49_outdoor_big_stairs_down        1559 ours          69.82      45.95      82.53      56.36     104.64     112.84      98.52
P6_49_outdoor_big_stairs_down        1559 cached        70.85      44.98      83.47      54.77     180.82     183.06     191.23
P6_50_outdoor_workout                1532 ours          60.96      41.25      70.99      51.13     132.96     135.65     122.45
P6_50_outdoor_workout                1532 cached        57.27      39.00      68.14      48.32     155.93     153.09     158.85
P6_51_outdoor_dancing                1427 ours          52.70      37.70      62.73      45.85      83.75      89.92      77.66
P6_51_outdoor_dancing                1427 cached        51.92      36.80      61.40      44.76     160.96     163.07     170.77
P7_57_outdoor_rock_chair             1558 ours          56.22      39.22      67.46      48.10     113.22     120.00      97.54
P7_57_outdoor_rock_chair             1558 cached        55.50      39.04      65.88      47.70     140.88     145.64     134.55
P7_59_outdoor_rom                    1839 ours          51.39      38.26      65.80      50.38      65.21      76.85      45.88
P7_59_outdoor_rom                    1839 cached        51.54      38.46      64.19      50.29     129.26     134.80     134.71
P7_60_outdoor_workout                1693 ours          53.10      37.49      67.32      47.19      68.74      81.80      53.31
P7_60_outdoor_workout                1693 cached        52.26      37.01      65.02      46.83     116.60     122.11     125.43
P8_64_outdoor_skateboard             1704 ours          59.79      44.76      70.08      52.98      73.31      79.05      56.96
P8_64_outdoor_skateboard             1704 cached        58.97      43.71      72.25      53.13     136.48     136.96     134.64
P8_68_outdoor_handstand              1606 ours          78.14      60.87      90.77      69.29     126.59     136.64     104.65
P8_68_outdoor_handstand              1606 cached        76.01      57.34      88.87      65.07     187.95     190.18     179.94
P8_69_outdoor_cartwheel               656 ours          65.06      42.10      79.83      53.52     180.85     190.93     165.92
P8_69_outdoor_cartwheel               656 cached        63.70      42.30      78.94      53.84     230.12     234.63     225.17
P9_76_outdoor_sitting                1768 ours          77.44      41.29      91.12      49.14      89.98      98.49      70.41
P9_76_outdoor_sitting                1768 cached        78.99      42.49      93.69      50.73      97.98     108.68      80.32
-------------------------------------------------------------------------------------------------------------------------------
MEAN ours (seq-avg)                                     63.53      43.06      75.91      52.42      98.04     106.34      81.22
MEAN cached (seq-avg)                                   62.52      42.50      74.61      51.74     137.37     142.07     131.72
